id,date,buyp,qty,inversion
694097235,2021-12-03 13:03:15,4452.37,0.0289999999999999,129.55
702077789,2021-12-09 05:36:51,4328.04,0.0311,135.03
702375001,2021-12-09 12:21:13,4191.91,0.032,134.56
717582334,2021-12-28 02:34:20,3909.72,0.0363,142.31
722046029,2022-01-04 15:33:33,3812.4,0.0209,80.06
722069222,2022-01-04 15:53:14,3775.54,0.0212,80.41
722674545,2022-01-05 16:07:49,3739.14,0.0281,105.44
722693496,2022-01-05 16:22:14,3709.62,0.0283,105.35
722730065,2022-01-05 16:46:42,3671.44,0.0287,105.73
722778665,2022-01-05 17:04:47,3636.06,0.0287,104.71
801211763,2022-04-10 19:18:12,3252.54,0.0082,26.99
801240144,2022-04-10 19:37:27,3220.96,0.0082,26.73
1,2023-04-15 13:20:09,2101.06,0.1559,327.55
